path,foundType,descriptiveType,unique,default,description,choices,regex
data/manifest.js:$.dataTypes.birdwatchNote.files[*].fileName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.birdwatchNote.files[*].globalName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.birdwatchNote.files[*].count,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.birdwatchNoteRating,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.birdwatchNoteRating.files,list,None,None,None,None,None,None
data/manifest.js:$.dataTypes.birdwatchNoteRating.files[*],dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.birdwatchNoteRating.files[*].fileName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.birdwatchNoteRating.files[*].globalName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.birdwatchNoteRating.files[*].count,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.block,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.block.files,list,None,None,None,None,None,None
data/manifest.js:$.dataTypes.block.files[*],dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.block.files[*].fileName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.block.files[*].globalName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.block.files[*].count,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.branchLinks,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.branchLinks.files,list,None,None,None,None,None,None
data/manifest.js:$.dataTypes.branchLinks.files[*],dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.branchLinks.files[*].fileName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.branchLinks.files[*].globalName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.branchLinks.files[*].count,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.communityTweet,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.communityTweet.mediaDirectory,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.communityTweet.files,list,None,None,None,None,None,None
data/manifest.js:$.dataTypes.communityTweet.files[*],dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.communityTweet.files[*].fileName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.communityTweet.files[*].globalName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.communityTweet.files[*].count,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.communityTweetMedia,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.communityTweetMedia.mediaDirectory,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.connectedApplication,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.connectedApplication.files,list,None,None,None,None,None,None
data/manifest.js:$.dataTypes.connectedApplication.files[*],dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.connectedApplication.files[*].fileName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.connectedApplication.files[*].globalName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.connectedApplication.files[*].count,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.contact,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.contact.files,list,None,None,None,None,None,None
data/manifest.js:$.dataTypes.contact.files[*],dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.contact.files[*].fileName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.contact.files[*].globalName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.contact.files[*].count,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.deviceToken,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.deviceToken.files,list,None,None,None,None,None,None
data/manifest.js:$.dataTypes.deviceToken.files[*],dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.deviceToken.files[*].fileName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.deviceToken.files[*].globalName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.deviceToken.files[*].count,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.directMessageGroupHeaders,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.directMessageGroupHeaders.files,list,None,None,None,None,None,None
data/manifest.js:$.dataTypes.directMessageGroupHeaders.files[*],dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.directMessageGroupHeaders.files[*].fileName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.directMessageGroupHeaders.files[*].globalName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.directMessageGroupHeaders.files[*].count,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.directMessageHeaders,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.directMessageHeaders.files,list,None,None,None,None,None,None
data/manifest.js:$.dataTypes.directMessageHeaders.files[*],dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.directMessageHeaders.files[*].fileName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.directMessageHeaders.files[*].globalName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.directMessageHeaders.files[*].count,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.directMessageMute,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.directMessageMute.files,list,None,None,None,None,None,None
data/manifest.js:$.dataTypes.directMessageMute.files[*],dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.directMessageMute.files[*].fileName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.directMessageMute.files[*].globalName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.directMessageMute.files[*].count,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.directMessages,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.directMessages.mediaDirectory,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.directMessages.files,list,None,None,None,None,None,None
data/manifest.js:$.dataTypes.directMessages.files[*],dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.directMessages.files[*].fileName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.directMessages.files[*].globalName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.directMessages.files[*].count,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.directMessagesGroup,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.directMessagesGroup.mediaDirectory,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.directMessagesGroup.files,list,None,None,None,None,None,None
data/manifest.js:$.dataTypes.directMessagesGroup.files[*],dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.directMessagesGroup.files[*].fileName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.directMessagesGroup.files[*].globalName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.directMessagesGroup.files[*].count,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.directMessagesGroupMedia,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.directMessagesGroupMedia.mediaDirectory,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.directMessagesMedia,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.directMessagesMedia.mediaDirectory,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.emailAddressChange,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.emailAddressChange.files,list,None,None,None,None,None,None
data/manifest.js:$.dataTypes.emailAddressChange.files[*],dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.emailAddressChange.files[*].fileName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.emailAddressChange.files[*].globalName,str,None,None,None,None,None,None
